command,action
abuse right,move_right
step correct,move_right
pass away right,move_right
lead right,move_right
function right,move_right
fit right,move_right
survive right,move_right
start right,move_right
live right,move_right
last right,move_right
belong right,move_right
endure right,move_right
sound right,move_right
get right,move_right
depart right,move_right
become right,move_right
work right,move_right
fail right,move_right
extend right,move_right
operate right,move_right
die right,move_right
pass right,move_right
go away right,move_right
perish right,move_right
go correct,move_right
walk correct,move_right
campaign right,move_right
flow right,move_right
tend right,move_right
race right,move_right
range right,move_right
prevail right,move_right
track down right,move_right
persist right,move_right
hunt right,move_right
incline right,move_right
run away right,move_right
melt right,move_right
lean right,move_right
run correct,move_right
plow right,move_right
bend right,move_right
grow right,move_right
reverse right,move_right
twist right,move_right
release right,move_right
call on right,move_right
turn correct,move_right
lurch right,move_right
change right,move_right
budge right,move_right
stir right,move_right
transfer right,move_right
pitch right,move_right
shift correct,move_right
motivate to the right,move_right
go to the right,move_right
prompt to the right,move_right
impress to the right,move_right
proceed to the right,move_right
travel to the right,move_right
strike to the right,move_right
act to the right,move_right
move to the correct,move_right
aim a step right,move_right
lead a step right,move_right
demand a step right,move_right
fill a step right,move_right
involve a step right,move_right
carry a step right,move_right
shoot a step right,move_right
consume a step right,move_right
have a step right,move_right
study a step right,move_right
direct a step right,move_right
look at a step right,move_right
call for a step right,move_right
learn a step right,move_right
guide a step right,move_right
take on a step right,move_right
require a step right,move_right
choose a step right,move_right
read a step right,move_right
deal a step right,move_right
consider a step right,move_right
claim a step right,move_right
need a step right,move_right
acquire a step right,move_right
get a step right,move_right
pick out a step right,move_right
accept a step right,move_right
select a step right,move_right
remove a step right,move_right
assume a step right,move_right
bring a step right,move_right
take away a step right,move_right
necessitate a step right,move_right
take a tread right,move_right
take a abuse right,move_right
take a step correct,move_right
maneuver right,move_right
guide right,move_right
steer right,move_right
point right,move_right
head correct,move_right
"if you're on the left, pass away right",move_right
"if you're on the left, lead right",move_right
"if you're on the left, function right",move_right
"if you're on the left, fit right",move_right
"if you're on the left, survive right",move_right
"if you're on the left, start right",move_right
"if you're on the left, live right",move_right
"if you're on the left, last right",move_right
"if you're on the left, belong right",move_right
"if you're on the left, move right",move_right
"if you're on the left, endure right",move_right
"if you're on the left, proceed right",move_right
"if you're on the left, run right",move_right
"if you're on the left, sound right",move_right
"if you're on the left, get right",move_right
"if you're on the left, depart right",move_right
"if you're on the left, become right",move_right
"if you're on the left, work right",move_right
"if you're on the left, fail right",move_right
"if you're on the left, extend right",move_right
"if you're on the left, operate right",move_right
"if you're on the left, die right",move_right
"if you're on the left, pass right",move_right
"if you're on the left, travel right",move_right
"if you're on the left, go away right",move_right
"if you're on the left, perish right",move_right
"if you're on the left, go correct",move_right
"don't pass away left, move right",move_right
"don't lead left, move right",move_right
"don't function left, move right",move_right
"don't fit left, move right",move_right
"don't survive left, move right",move_right
"don't start left, move right",move_right
"don't live left, move right",move_right
"don't last left, move right",move_right
"don't belong left, move right",move_right
"don't move left, move right",move_right
"don't endure left, move right",move_right
"don't proceed left, move right",move_right
"don't run left, move right",move_right
"don't sound left, move right",move_right
"don't get left, move right",move_right
"don't depart left, move right",move_right
"don't become left, move right",move_right
"don't work left, move right",move_right
"don't fail left, move right",move_right
"don't extend left, move right",move_right
"don't operate left, move right",move_right
"don't die left, move right",move_right
"don't pass left, move right",move_right
"don't travel left, move right",move_right
"don't go away left, move right",move_right
"don't perish left, move right",move_right
"don't go left, motivate right",move_right
"don't go left, go right",move_right
"don't go left, prompt right",move_right
"don't go left, impress right",move_right
"don't go left, proceed right",move_right
"don't go left, travel right",move_right
"don't go left, strike right",move_right
"don't go left, act right",move_right
"don't go left, move correct",move_right
delight move to the right,move_right
please motivate to the right,move_right
please go to the right,move_right
please prompt to the right,move_right
please impress to the right,move_right
please proceed to the right,move_right
please travel to the right,move_right
please strike to the right,move_right
please act to the right,move_right
please move to the correct,move_right
aim two steps right,move_right
lead two steps right,move_right
demand two steps right,move_right
fill two steps right,move_right
involve two steps right,move_right
carry two steps right,move_right
shoot two steps right,move_right
consume two steps right,move_right
have two steps right,move_right
study two steps right,move_right
direct two steps right,move_right
look at two steps right,move_right
call for two steps right,move_right
learn two steps right,move_right
guide two steps right,move_right
take on two steps right,move_right
require two steps right,move_right
choose two steps right,move_right
read two steps right,move_right
deal two steps right,move_right
consider two steps right,move_right
claim two steps right,move_right
need two steps right,move_right
acquire two steps right,move_right
get two steps right,move_right
pick out two steps right,move_right
accept two steps right,move_right
select two steps right,move_right
remove two steps right,move_right
assume two steps right,move_right
bring two steps right,move_right
take away two steps right,move_right
necessitate two steps right,move_right
take two step right,move_right
take two tread right,move_right
take two abuse right,move_right
take two steps correct,move_right
"if you make a wall, go right",move_right
"if you reach a wall, go right",move_right
"if you shoot a wall, go right",move_right
"if you murder a wall, go right",move_right
"if you arrive at a wall, go right",move_right
"if you come to a wall, go right",move_right
"if you strike a wall, go right",move_right
"if you score a wall, go right",move_right
"if you attain a wall, go right",move_right
"if you gain a wall, go right",move_right
"if you hit a wall, pass away right",move_right
"if you hit a wall, lead right",move_right
"if you hit a wall, function right",move_right
"if you hit a wall, fit right",move_right
"if you hit a wall, survive right",move_right
"if you hit a wall, start right",move_right
"if you hit a wall, live right",move_right
"if you hit a wall, last right",move_right
"if you hit a wall, belong right",move_right
"if you hit a wall, move right",move_right
"if you hit a wall, endure right",move_right
"if you hit a wall, proceed right",move_right
"if you hit a wall, run right",move_right
"if you hit a wall, sound right",move_right
"if you hit a wall, get right",move_right
"if you hit a wall, depart right",move_right
"if you hit a wall, become right",move_right
"if you hit a wall, work right",move_right
"if you hit a wall, fail right",move_right
"if you hit a wall, extend right",move_right
"if you hit a wall, operate right",move_right
"if you hit a wall, die right",move_right
"if you hit a wall, pass right",move_right
"if you hit a wall, travel right",move_right
"if you hit a wall, go away right",move_right
"if you hit a wall, perish right",move_right
"if you hit a wall, go correct",move_right
motivate slightly to the right,move_right
go slightly to the right,move_right
prompt slightly to the right,move_right
impress slightly to the right,move_right
proceed slightly to the right,move_right
travel slightly to the right,move_right
strike slightly to the right,move_right
act slightly to the right,move_right
move slightly to the correct,move_right
quickly lurch right,move_right
quickly change right,move_right
quickly budge right,move_right
quickly stir right,move_right
quickly transfer right,move_right
quickly pitch right,move_right
quickly shift correct,move_right
take sure to go right,move_right
induce sure to go right,move_right
cause sure to go right,move_right
form sure to go right,move_right
hit sure to go right,move_right
arrive at sure to go right,move_right
have sure to go right,move_right
build sure to go right,move_right
lay down sure to go right,move_right
gain sure to go right,move_right
hold sure to go right,move_right
establish sure to go right,move_right
draw sure to go right,move_right
name sure to go right,move_right
create sure to go right,move_right
produce sure to go right,move_right
earn sure to go right,move_right
get to sure to go right,move_right
get sure to go right,move_right
stimulate sure to go right,move_right
work sure to go right,move_right
prepare sure to go right,move_right
do sure to go right,move_right
construct sure to go right,move_right
reach sure to go right,move_right
fix sure to go right,move_right
bring in sure to go right,move_right
cook sure to go right,move_right
give sure to go right,move_right
make sure to pass away right,move_right
make sure to lead right,move_right
make sure to function right,move_right
make sure to fit right,move_right
make sure to survive right,move_right
make sure to start right,move_right
make sure to live right,move_right
make sure to last right,move_right
make sure to belong right,move_right
make sure to move right,move_right
make sure to endure right,move_right
make sure to proceed right,move_right
make sure to run right,move_right
make sure to sound right,move_right
make sure to get right,move_right
make sure to depart right,move_right
make sure to become right,move_right
make sure to work right,move_right
make sure to fail right,move_right
make sure to extend right,move_right
make sure to operate right,move_right
make sure to die right,move_right
make sure to pass right,move_right
make sure to travel right,move_right
make sure to go away right,move_right
make sure to perish right,move_right
make sure to go correct,move_right
lead towards the right,move_right
campaign towards the right,move_right
flow towards the right,move_right
function towards the right,move_right
tend towards the right,move_right
race towards the right,move_right
range towards the right,move_right
prevail towards the right,move_right
track down towards the right,move_right
go towards the right,move_right
persist towards the right,move_right
hunt towards the right,move_right
incline towards the right,move_right
run away towards the right,move_right
work towards the right,move_right
melt towards the right,move_right
extend towards the right,move_right
operate towards the right,move_right
pass towards the right,move_right
lean towards the right,move_right
run towards the correct,move_right
"don't walk left, pass away right",move_right
"don't walk left, lead right",move_right
"don't walk left, function right",move_right
"don't walk left, fit right",move_right
"don't walk left, survive right",move_right
"don't walk left, start right",move_right
"don't walk left, live right",move_right
"don't walk left, last right",move_right
"don't walk left, belong right",move_right
"don't walk left, move right",move_right
"don't walk left, endure right",move_right
"don't walk left, proceed right",move_right
"don't walk left, run right",move_right
"don't walk left, sound right",move_right
"don't walk left, get right",move_right
"don't walk left, depart right",move_right
"don't walk left, become right",move_right
"don't walk left, work right",move_right
"don't walk left, fail right",move_right
"don't walk left, extend right",move_right
"don't walk left, operate right",move_right
"don't walk left, die right",move_right
"don't walk left, pass right",move_right
"don't walk left, travel right",move_right
"don't walk left, go away right",move_right
"don't walk left, perish right",move_right
"don't walk left, go correct",move_right
"if there's an obstacle, motivate right",move_right
"if there's an obstacle, go right",move_right
"if there's an obstacle, prompt right",move_right
"if there's an obstacle, impress right",move_right
"if there's an obstacle, proceed right",move_right
"if there's an obstacle, travel right",move_right
"if there's an obstacle, strike right",move_right
"if there's an obstacle, act right",move_right
"if there's an obstacle, move correct",move_right
pop walking right,move_right
start out walking right,move_right
originate walking right,move_right
begin walking right,move_right
take off walking right,move_right
jump walking right,move_right
depart walking right,move_right
initiate walking right,move_right
embark on walking right,move_right
set off walking right,move_right
set out walking right,move_right
commence walking right,move_right
start walk right,move_right
start walking correct,move_right
tread to your right side,move_right
abuse to your right side,move_right
step to your correct side,move_right
"don't maneuver left, move right",move_right
"don't guide left, move right",move_right
"don't steer left, move right",move_right
"don't point left, move right",move_right
"don't head left, motivate right",move_right
"don't head left, go right",move_right
"don't head left, prompt right",move_right
"don't head left, impress right",move_right
"don't head left, proceed right",move_right
"don't head left, travel right",move_right
"don't head left, strike right",move_right
"don't head left, act right",move_right
"don't head left, move correct",move_right
motivate to the right as fast as possible,move_right
go to the right as fast as possible,move_right
prompt to the right as fast as possible,move_right
impress to the right as fast as possible,move_right
proceed to the right as fast as possible,move_right
travel to the right as fast as possible,move_right
strike to the right as fast as possible,move_right
act to the right as fast as possible,move_right
move to the correct as fast as possible,move_right
adapt your position to the right,move_right
adjust your lay to the right,move_right
adjust your put to the right,move_right
adjust your set to the right,move_right
adjust your place to the right,move_right
adjust your position to the correct,move_right
"if you check danger, go right",move_right
"if you fancy danger, go right",move_right
"if you hear danger, go right",move_right
"if you visit danger, go right",move_right
"if you figure danger, go right",move_right
"if you realize danger, go right",move_right
"if you construe danger, go right",move_right
"if you witness danger, go right",move_right
"if you visualize danger, go right",move_right
"if you learn danger, go right",move_right
"if you envision danger, go right",move_right
"if you find danger, go right",move_right
"if you find out danger, go right",move_right
"if you assure danger, go right",move_right
"if you discover danger, go right",move_right
"if you experience danger, go right",move_right
"if you understand danger, go right",move_right
"if you take care danger, go right",move_right
"if you encounter danger, go right",move_right
"if you consider danger, go right",move_right
"if you pick up danger, go right",move_right
"if you examine danger, go right",move_right
"if you view danger, go right",move_right
"if you insure danger, go right",move_right
"if you go through danger, go right",move_right
"if you picture danger, go right",move_right
"if you meet danger, go right",move_right
"if you interpret danger, go right",move_right
"if you regard danger, go right",move_right
"if you watch danger, go right",move_right
"if you see to it danger, go right",move_right
"if you see danger, pass away right",move_right
"if you see danger, lead right",move_right
"if you see danger, function right",move_right
"if you see danger, fit right",move_right
"if you see danger, survive right",move_right
"if you see danger, start right",move_right
"if you see danger, live right",move_right
"if you see danger, last right",move_right
"if you see danger, belong right",move_right
"if you see danger, move right",move_right
"if you see danger, endure right",move_right
"if you see danger, proceed right",move_right
"if you see danger, run right",move_right
"if you see danger, sound right",move_right
"if you see danger, get right",move_right
"if you see danger, depart right",move_right
"if you see danger, become right",move_right
"if you see danger, work right",move_right
"if you see danger, fail right",move_right
"if you see danger, extend right",move_right
"if you see danger, operate right",move_right
"if you see danger, die right",move_right
"if you see danger, pass right",move_right
"if you see danger, travel right",move_right
"if you see danger, go away right",move_right
"if you see danger, perish right",move_right
"if you see danger, go correct",move_right
maneuver in the direction of the right,move_right
lead in the direction of the right,move_right
guide in the direction of the right,move_right
steer in the direction of the right,move_right
point in the direction of the right,move_right
head in the direction of the correct,move_right
go along to move right,move_right
stay on to move right,move_right
go forward to move right,move_right
keep to move right,move_right
preserve to move right,move_right
proceed to move right,move_right
remain to move right,move_right
cover to move right,move_right
go on to move right,move_right
persist in to move right,move_right
extend to move right,move_right
uphold to move right,move_right
stay to move right,move_right
continue to motivate right,move_right
continue to go right,move_right
continue to prompt right,move_right
continue to impress right,move_right
continue to proceed right,move_right
continue to travel right,move_right
continue to strike right,move_right
continue to act right,move_right
continue to move correct,move_right
lurch towards the right,move_right
change towards the right,move_right
budge towards the right,move_right
stir towards the right,move_right
transfer towards the right,move_right
pitch towards the right,move_right
shift towards the correct,move_right
motivate over to the right,move_right
go over to the right,move_right
prompt over to the right,move_right
impress over to the right,move_right
proceed over to the right,move_right
travel over to the right,move_right
strike over to the right,move_right
act over to the right,move_right
move over to the correct,move_right
lead towards the right side,move_right
campaign towards the right side,move_right
flow towards the right side,move_right
function towards the right side,move_right
tend towards the right side,move_right
race towards the right side,move_right
range towards the right side,move_right
prevail towards the right side,move_right
track down towards the right side,move_right
go towards the right side,move_right
persist towards the right side,move_right
hunt towards the right side,move_right
incline towards the right side,move_right
run away towards the right side,move_right
work towards the right side,move_right
melt towards the right side,move_right
extend towards the right side,move_right
operate towards the right side,move_right
pass towards the right side,move_right
lean towards the right side,move_right
run towards the correct side,move_right
pass away right if there's a path,move_right
lead right if there's a path,move_right
function right if there's a path,move_right
fit right if there's a path,move_right
survive right if there's a path,move_right
start right if there's a path,move_right
live right if there's a path,move_right
last right if there's a path,move_right
belong right if there's a path,move_right
move right if there's a path,move_right
endure right if there's a path,move_right
proceed right if there's a path,move_right
run right if there's a path,move_right
sound right if there's a path,move_right
get right if there's a path,move_right
depart right if there's a path,move_right
become right if there's a path,move_right
work right if there's a path,move_right
fail right if there's a path,move_right
extend right if there's a path,move_right
operate right if there's a path,move_right
die right if there's a path,move_right
pass right if there's a path,move_right
travel right if there's a path,move_right
go away right if there's a path,move_right
perish right if there's a path,move_right
go correct if there's a path,move_right
maneuver right until you reach the end,move_right
lead right until you reach the end,move_right
guide right until you reach the end,move_right
steer right until you reach the end,move_right
point right until you reach the end,move_right
head correct until you reach the end,move_right
head right until you strive the end,move_right
head right until you make the end,move_right
head right until you achieve the end,move_right
head right until you get to the end,move_right
head right until you pass the end,move_right
head right until you pass on the end,move_right
head right until you turn over the end,move_right
head right until you hit the end,move_right
head right until you reach out the end,move_right
head right until you arrive at the end,move_right
head right until you contact the end,move_right
head right until you accomplish the end,move_right
head right until you hand the end,move_right
head right until you extend to the end,move_right
head right until you strain the end,move_right
head right until you attain the end,move_right
head right until you give the end,move_right
head right until you gain the end,move_right
head right until you reach the cease,move_right
head right until you reach the terminate,move_right
head right until you reach the finish,move_right
"don't plow left, just move right",move_right
"don't bend left, just move right",move_right
"don't grow left, just move right",move_right
"don't reverse left, just move right",move_right
"don't twist left, just move right",move_right
"don't release left, just move right",move_right
"don't become left, just move right",move_right
"don't call on left, just move right",move_right
"don't turn left, just motivate right",move_right
"don't turn left, just go right",move_right
"don't turn left, just prompt right",move_right
"don't turn left, just impress right",move_right
"don't turn left, just proceed right",move_right
"don't turn left, just travel right",move_right
"don't turn left, just strike right",move_right
"don't turn left, just act right",move_right
"don't turn left, just move correct",move_right
"if you're not sure, motivate right",move_right
"if you're not sure, go right",move_right
"if you're not sure, prompt right",move_right
"if you're not sure, impress right",move_right
"if you're not sure, proceed right",move_right
"if you're not sure, travel right",move_right
"if you're not sure, strike right",move_right
"if you're not sure, act right",move_right
"if you're not sure, move correct",move_right
pass away all the way right,move_right
lead all the way right,move_right
function all the way right,move_right
fit all the way right,move_right
survive all the way right,move_right
start all the way right,move_right
live all the way right,move_right
last all the way right,move_right
belong all the way right,move_right
move all the way right,move_right
endure all the way right,move_right
proceed all the way right,move_right
run all the way right,move_right
sound all the way right,move_right
get all the way right,move_right
depart all the way right,move_right
become all the way right,move_right
work all the way right,move_right
fail all the way right,move_right
extend all the way right,move_right
operate all the way right,move_right
die all the way right,move_right
pass all the way right,move_right
travel all the way right,move_right
go away all the way right,move_right
perish all the way right,move_right
go all the way correct,move_right
lurch right to avoid danger,move_right
change right to avoid danger,move_right
budge right to avoid danger,move_right
stir right to avoid danger,move_right
transfer right to avoid danger,move_right
pitch right to avoid danger,move_right
shift correct to avoid danger,move_right
shift right to stave off danger,move_right
shift right to head off danger,move_right
shift right to avert danger,move_right
lead straight right,move_right
campaign straight right,move_right
flow straight right,move_right
function straight right,move_right
tend straight right,move_right
race straight right,move_right
range straight right,move_right
prevail straight right,move_right
track down straight right,move_right
go straight right,move_right
persist straight right,move_right
hunt straight right,move_right
incline straight right,move_right
run away straight right,move_right
work straight right,move_right
melt straight right,move_right
extend straight right,move_right
operate straight right,move_right
pass straight right,move_right
lean straight right,move_right
run straight correct,move_right
aim one step right,move_right
lead one step right,move_right
demand one step right,move_right
fill one step right,move_right
involve one step right,move_right
carry one step right,move_right
shoot one step right,move_right
consume one step right,move_right
have one step right,move_right
study one step right,move_right
direct one step right,move_right
look at one step right,move_right
call for one step right,move_right
learn one step right,move_right
guide one step right,move_right
take on one step right,move_right
require one step right,move_right
choose one step right,move_right
read one step right,move_right
deal one step right,move_right
consider one step right,move_right
claim one step right,move_right
need one step right,move_right
acquire one step right,move_right
get one step right,move_right
pick out one step right,move_right
accept one step right,move_right
select one step right,move_right
remove one step right,move_right
assume one step right,move_right
bring one step right,move_right
take away one step right,move_right
necessitate one step right,move_right
take one tread right,move_right
take one abuse right,move_right
take one step correct,move_right
restrain heading right,move_right
go along heading right,move_right
maintain heading right,move_right
continue heading right,move_right
go on heading right,move_right
observe heading right,move_right
celebrate heading right,move_right
prevent heading right,move_right
hold heading right,move_right
keep maneuver right,move_right
keep lead right,move_right
keep head right,move_right
keep guide right,move_right
keep steer right,move_right
keep point right,move_right
keep heading correct,move_right
motivate right immediately,move_right
go right immediately,move_right
prompt right immediately,move_right
impress right immediately,move_right
proceed right immediately,move_right
travel right immediately,move_right
strike right immediately,move_right
act right immediately,move_right
move correct immediately,move_right
"cause not walk to the left, move right",move_right
"get along not walk to the left, move right",move_right
"make not walk to the left, move right",move_right
"serve not walk to the left, move right",move_right
"suffice not walk to the left, move right",move_right
"behave not walk to the left, move right",move_right
"perform not walk to the left, move right",move_right
"exercise not walk to the left, move right",move_right
"practice not walk to the left, move right",move_right
"act not walk to the left, move right",move_right
"do not walk to the left, motivate right",move_right
"do not walk to the left, go right",move_right
"do not walk to the left, prompt right",move_right
"do not walk to the left, impress right",move_right
"do not walk to the left, proceed right",move_right
"do not walk to the left, travel right",move_right
"do not walk to the left, strike right",move_right
"do not walk to the left, act right",move_right
"do not walk to the left, move correct",move_right
motivate towards the right corner,move_right
go towards the right corner,move_right
prompt towards the right corner,move_right
impress towards the right corner,move_right
proceed towards the right corner,move_right
travel towards the right corner,move_right
strike towards the right corner,move_right
act towards the right corner,move_right
move towards the correct corner,move_right
aim a small step right,move_right
lead a small step right,move_right
demand a small step right,move_right
fill a small step right,move_right
involve a small step right,move_right
carry a small step right,move_right
shoot a small step right,move_right
consume a small step right,move_right
have a small step right,move_right
study a small step right,move_right
direct a small step right,move_right
look at a small step right,move_right
call for a small step right,move_right
learn a small step right,move_right
guide a small step right,move_right
take on a small step right,move_right
require a small step right,move_right
choose a small step right,move_right
read a small step right,move_right
deal a small step right,move_right
consider a small step right,move_right
claim a small step right,move_right
need a small step right,move_right
acquire a small step right,move_right
get a small step right,move_right
pick out a small step right,move_right
accept a small step right,move_right
select a small step right,move_right
remove a small step right,move_right
assume a small step right,move_right
bring a small step right,move_right
take away a small step right,move_right
necessitate a small step right,move_right
take a small tread right,move_right
take a small abuse right,move_right
take a small step correct,move_right
maneuver right and keep going,move_right
lead right and keep going,move_right
guide right and keep going,move_right
steer right and keep going,move_right
point right and keep going,move_right
head correct and keep going,move_right
head right and restrain going,move_right
head right and go along going,move_right
head right and maintain going,move_right
head right and continue going,move_right
head right and go on going,move_right
head right and observe going,move_right
head right and celebrate going,move_right
head right and prevent going,move_right
head right and hold going,move_right
head right and keep pass away,move_right
head right and keep lead,move_right
head right and keep function,move_right
head right and keep fit,move_right
head right and keep survive,move_right
head right and keep start,move_right
head right and keep live,move_right
head right and keep last,move_right
head right and keep belong,move_right
head right and keep move,move_right
head right and keep go,move_right
head right and keep endure,move_right
head right and keep proceed,move_right
head right and keep run,move_right
head right and keep sound,move_right
head right and keep get,move_right
head right and keep depart,move_right
head right and keep become,move_right
head right and keep work,move_right
head right and keep fail,move_right
head right and keep extend,move_right
head right and keep operate,move_right
head right and keep die,move_right
head right and keep pass,move_right
head right and keep travel,move_right
head right and keep go away,move_right
head right and keep perish,move_right
motivate right until you see the wall,move_right
go right until you see the wall,move_right
prompt right until you see the wall,move_right
impress right until you see the wall,move_right
proceed right until you see the wall,move_right
travel right until you see the wall,move_right
strike right until you see the wall,move_right
act right until you see the wall,move_right
move correct until you see the wall,move_right
move right until you check the wall,move_right
move right until you fancy the wall,move_right
move right until you hear the wall,move_right
move right until you visit the wall,move_right
move right until you figure the wall,move_right
move right until you realize the wall,move_right
move right until you construe the wall,move_right
move right until you witness the wall,move_right
move right until you visualize the wall,move_right
move right until you learn the wall,move_right
move right until you envision the wall,move_right
move right until you find the wall,move_right
move right until you find out the wall,move_right
move right until you assure the wall,move_right
move right until you discover the wall,move_right
move right until you experience the wall,move_right
move right until you understand the wall,move_right
move right until you take care the wall,move_right
move right until you encounter the wall,move_right
move right until you consider the wall,move_right
move right until you pick up the wall,move_right
move right until you examine the wall,move_right
move right until you view the wall,move_right
move right until you insure the wall,move_right
move right until you go through the wall,move_right
move right until you picture the wall,move_right
move right until you meet the wall,move_right
move right until you interpret the wall,move_right
move right until you regard the wall,move_right
move right until you watch the wall,move_right
move right until you see to it the wall,move_right
"don't pass away straight, just move right",move_right
"don't lead straight, just move right",move_right
"don't function straight, just move right",move_right
"don't fit straight, just move right",move_right
"don't survive straight, just move right",move_right
"don't start straight, just move right",move_right
"don't live straight, just move right",move_right
"don't last straight, just move right",move_right
"don't belong straight, just move right",move_right
"don't move straight, just move right",move_right
"don't endure straight, just move right",move_right
"don't proceed straight, just move right",move_right
"don't run straight, just move right",move_right
"don't sound straight, just move right",move_right
"don't get straight, just move right",move_right
"don't depart straight, just move right",move_right
"don't become straight, just move right",move_right
"don't work straight, just move right",move_right
"don't fail straight, just move right",move_right
"don't extend straight, just move right",move_right
"don't operate straight, just move right",move_right
"don't die straight, just move right",move_right
"don't pass straight, just move right",move_right
"don't travel straight, just move right",move_right
"don't go away straight, just move right",move_right
"don't perish straight, just move right",move_right
"don't go straight, just motivate right",move_right
"don't go straight, just go right",move_right
"don't go straight, just prompt right",move_right
"don't go straight, just impress right",move_right
"don't go straight, just proceed right",move_right
"don't go straight, just travel right",move_right
"don't go straight, just strike right",move_right
"don't go straight, just act right",move_right
"don't go straight, just move correct",move_right
take sure you move right,move_right
induce sure you move right,move_right
cause sure you move right,move_right
form sure you move right,move_right
hit sure you move right,move_right
arrive at sure you move right,move_right
have sure you move right,move_right
build sure you move right,move_right
lay down sure you move right,move_right
gain sure you move right,move_right
hold sure you move right,move_right
establish sure you move right,move_right
draw sure you move right,move_right
name sure you move right,move_right
create sure you move right,move_right
produce sure you move right,move_right
earn sure you move right,move_right
get to sure you move right,move_right
get sure you move right,move_right
stimulate sure you move right,move_right
work sure you move right,move_right
prepare sure you move right,move_right
do sure you move right,move_right
construct sure you move right,move_right
reach sure you move right,move_right
fix sure you move right,move_right
bring in sure you move right,move_right
cook sure you move right,move_right
give sure you move right,move_right
make sure you motivate right,move_right
make sure you go right,move_right
make sure you prompt right,move_right
make sure you impress right,move_right
make sure you proceed right,move_right
make sure you travel right,move_right
make sure you strike right,move_right
make sure you act right,move_right
make sure you move correct,move_right
plow and move right,move_right
bend and move right,move_right
grow and move right,move_right
reverse and move right,move_right
twist and move right,move_right
release and move right,move_right
become and move right,move_right
call on and move right,move_right
turn and motivate right,move_right
turn and go right,move_right
turn and prompt right,move_right
turn and impress right,move_right
turn and proceed right,move_right
turn and travel right,move_right
turn and strike right,move_right
turn and act right,move_right
turn and move correct,move_right
lurch over to the right side,move_right
change over to the right side,move_right
budge over to the right side,move_right
stir over to the right side,move_right
transfer over to the right side,move_right
pitch over to the right side,move_right
shift over to the correct side,move_right
motivate all the way to the right side,move_right
go all the way to the right side,move_right
prompt all the way to the right side,move_right
impress all the way to the right side,move_right
proceed all the way to the right side,move_right
travel all the way to the right side,move_right
strike all the way to the right side,move_right
act all the way to the right side,move_right
move all the way to the correct side,move_right
pass away right as much as possible,move_right
lead right as much as possible,move_right
function right as much as possible,move_right
fit right as much as possible,move_right
survive right as much as possible,move_right
start right as much as possible,move_right
live right as much as possible,move_right
last right as much as possible,move_right
belong right as much as possible,move_right
move right as much as possible,move_right
endure right as much as possible,move_right
proceed right as much as possible,move_right
run right as much as possible,move_right
sound right as much as possible,move_right
get right as much as possible,move_right
depart right as much as possible,move_right
become right as much as possible,move_right
work right as much as possible,move_right
fail right as much as possible,move_right
extend right as much as possible,move_right
operate right as much as possible,move_right
die right as much as possible,move_right
pass right as much as possible,move_right
travel right as much as possible,move_right
go away right as much as possible,move_right
perish right as much as possible,move_right
go correct as much as possible,move_right
go along moving right,move_right
stay on moving right,move_right
go forward moving right,move_right
keep moving right,move_right
preserve moving right,move_right
proceed moving right,move_right
remain moving right,move_right
cover moving right,move_right
go on moving right,move_right
persist in moving right,move_right
extend moving right,move_right
uphold moving right,move_right
stay moving right,move_right
continue move right,move_right
continue motivate right,move_right
continue go right,move_right
continue prompt right,move_right
continue impress right,move_right
continue proceed right,move_right
continue travel right,move_right
continue strike right,move_right
continue act right,move_right
continue moving correct,move_right
"if you're lost, pass away right",move_right
"if you're lost, lead right",move_right
"if you're lost, function right",move_right
"if you're lost, fit right",move_right
"if you're lost, survive right",move_right
"if you're lost, start right",move_right
"if you're lost, live right",move_right
"if you're lost, last right",move_right
"if you're lost, belong right",move_right
"if you're lost, move right",move_right
"if you're lost, endure right",move_right
"if you're lost, proceed right",move_right
"if you're lost, run right",move_right
"if you're lost, sound right",move_right
"if you're lost, get right",move_right
"if you're lost, depart right",move_right
"if you're lost, become right",move_right
"if you're lost, work right",move_right
"if you're lost, fail right",move_right
"if you're lost, extend right",move_right
"if you're lost, operate right",move_right
"if you're lost, die right",move_right
"if you're lost, pass right",move_right
"if you're lost, travel right",move_right
"if you're lost, go away right",move_right
"if you're lost, perish right",move_right
"if you're lost, go correct",move_right
walk correct until you reach the end,move_right
walk right until you strive the end,move_right
walk right until you make the end,move_right
walk right until you achieve the end,move_right
walk right until you get to the end,move_right
walk right until you pass the end,move_right
walk right until you pass on the end,move_right
walk right until you turn over the end,move_right
walk right until you hit the end,move_right
walk right until you reach out the end,move_right
walk right until you arrive at the end,move_right
walk right until you contact the end,move_right
walk right until you accomplish the end,move_right
walk right until you hand the end,move_right
walk right until you extend to the end,move_right
walk right until you strain the end,move_right
walk right until you attain the end,move_right
walk right until you give the end,move_right
walk right until you gain the end,move_right
walk right until you reach the cease,move_right
walk right until you reach the terminate,move_right
walk right until you reach the finish,move_right
plow right and move forward,move_right
bend right and move forward,move_right
grow right and move forward,move_right
reverse right and move forward,move_right
twist right and move forward,move_right
release right and move forward,move_right
become right and move forward,move_right
call on right and move forward,move_right
turn correct and move forward,move_right
turn right and motivate forward,move_right
turn right and go forward,move_right
turn right and prompt forward,move_right
turn right and impress forward,move_right
turn right and proceed forward,move_right
turn right and travel forward,move_right
turn right and strike forward,move_right
